restaurant_id,restaurant_name,city,restaurant_type,cuisine_type,opening_year,avg_rating,delivery_radius_km,commission_percentage
R00068,Gandhi-Mishra,Coimbatore,Cafe,South Indian,2022,4.0,2.4,19
R00069,Johal and Sons,Bangalore,Budget Restaurant,South Indian,2023,5.0,3.6,20
R00070,Acharya Group,Bangalore,Cafe,Beverages,2022,4.2,8.6,16
R00071,Date and Sons,Chennai,Fast Food Chain,South Indian,2023,4.9,8.2,28
R00072,"Sama, Boase and Deshpande",Chennai,Cloud Kitchen,South Indian,2022,3.7,3.1,23
R00073,"Divan, Iyengar and Balakrishnan",Chennai,Cloud Kitchen,Biryani,2022,4.5,7.1,26
R00074,"Chandran, Garg and Mangal",Coimbatore,Cafe,North Indian,2025,3.7,4.8,17
R00075,"Subramaniam, Hari and Rajagopal",Coimbatore,Fast Food Chain,North Indian,2026,4.6,8.9,20
R00076,Cheema Inc,Hyderabad,Cloud Kitchen,Burger,2021,3.9,3.0,18
R00077,"Brahmbhatt, Chokshi and Bose",Hyderabad,Budget Restaurant,Chinese,2021,4.3,5.3,16
R00078,"Banerjee, Chaudry and Iyer",Chennai,Cafe,Chinese,2019,4.0,6.5,16
R00079,Magar-Mahal,Hyderabad,Cafe,Healthy Foods,2017,5.0,5.2,15
R00080,"Char, Kata and Mallick",Chennai,Budget Restaurant,Burger,2018,4.9,8.4,30
R00081,"Ratta, Seth and Batra",Vijayawada,Budget Restaurant,Biryani,2025,4.1,3.6,23
R00082,Tella and Sons,Hyderabad,Fast Food Chain,South Indian,2025,4.7,2.2,17
R00083,"Raja, Pingle and Dara",Hyderabad,Premium Restaurant,North Indian,2016,4.9,8.4,16
R00084,"Sabharwal, Basu and Mander",Vijayawada,Cloud Kitchen,Biryani,2019,3.8,8.1,21
R00085,"Chana, Choudhury and Karan",Hyderabad,Premium Restaurant,Pizza,2018,4.9,6.7,22
R00086,"Rajagopal, Magar and Bawa",Chennai,Cafe,Chinese,2023,4.9,2.2,24
R00087,"Sahni, Ghosh and Subramanian",Vijayawada,Budget Restaurant,Pizza,2023,4.8,6.0,21
R00088,Bains-Khare,Vijayawada,Cloud Kitchen,Biryani,2016,4.9,5.7,30
R00089,"Pradhan, Varma and Shetty",Vijayawada,Budget Restaurant,Chinese,2016,4.8,2.4,29
R00090,Butala-Patel,Bangalore,Budget Restaurant,Pizza,2024,4.2,3.7,17
R00091,Raman-Yohannan,Vijayawada,Budget Restaurant,Pizza,2025,4.1,8.9,28
R00092,"Nayar, Chatterjee and Bedi",Bangalore,Budget Restaurant,Chinese,2020,4.9,5.4,21
R00093,Kala Inc,Chennai,Cafe,Biryani,2021,4.9,7.3,28
R00094,Krishnamurthy LLC,Chennai,Budget Restaurant,Biryani,2022,4.8,4.3,20
R00095,Bobal-Vaidya,Hyderabad,Fast Food Chain,Healthy Foods,2017,4.8,7.2,20
R00096,Buch Inc,Chennai,Cloud Kitchen,Biryani,2018,3.7,4.1,16
R00097,Yogi-Reddy,Chennai,Budget Restaurant,South Indian,2016,3.6,7.9,22
R00098,Dixit-Balasubramanian,Vijayawada,Cloud Kitchen,Biryani,2019,4.2,3.4,24
R00099,Bhavsar-Sagar,Coimbatore,Premium Restaurant,Pizza,2017,4.1,6.3,18
R00100,Soman-Tripathi,Hyderabad,Fast Food Chain,Biryani,2024,5.0,2.1,24
R00101,Singhal-Nadkarni,Bangalore,Premium Restaurant,Chinese,2022,4.6,9.9,18
R00102,Kaur Ltd,Chennai,Budget Restaurant,Burger,2019,4.3,5.1,19
R00103,Reddy-Brar,Vijayawada,Budget Restaurant,Healthy Foods,2021,3.7,8.7,30
R00104,"Chad, Wadhwa and Luthra",Bangalore,Cafe,North Indian,2025,4.0,6.6,15
R00105,Dada-Setty,Chennai,Fast Food Chain,Chinese,2023,3.6,2.9,26
R00106,Soni Group,Chennai,Budget Restaurant,Healthy Foods,2024,4.1,4.1,21
R00107,Rao Group,Chennai,Premium Restaurant,Chinese,2025,4.8,7.9,23
R00108,Ghose Ltd,Bangalore,Budget Restaurant,Chinese,2018,4.7,7.4,15
R00109,Pandit-Shankar,Chennai,Fast Food Chain,Healthy Foods,2022,4.7,6.8,22
R00110,"Das, Gaba and Tak",Chennai,Cloud Kitchen,Biryani,2016,4.3,5.1,24
R00111,Venkatesh-Pillai,Hyderabad,Premium Restaurant,Burger,2017,4.6,7.4,24
R00112,"Sachar, Loyal and Dasgupta",Hyderabad,Premium Restaurant,Biryani,2023,4.9,9.6,16
R00113,"Mishra, Bawa and De",Hyderabad,Premium Restaurant,Pizza,2024,4.0,3.8,25
R00114,Malhotra Ltd,Chennai,Fast Food Chain,Burger,2023,3.6,5.5,18
R00115,Sachdeva LLC,Bangalore,Cloud Kitchen,Pizza,2020,4.7,8.8,19
R00116,Vohra-Choudhary,Coimbatore,Cafe,Pizza,2018,3.7,3.8,20
R00117,"Khalsa, Bawa and Karan",Bangalore,Fast Food Chain,South Indian,2016,3.8,6.9,18
R00118,"Nath, Sachdeva and Vig",Coimbatore,Cloud Kitchen,South Indian,2018,4.1,2.2,19
R00119,"Shan, Guha and Keer",Vijayawada,Cloud Kitchen,North Indian,2020,3.8,2.3,18
R00120,Pathak-Seshadri,Coimbatore,Premium Restaurant,Chinese,2017,3.8,4.4,21
R00121,Kunda and Sons,Bangalore,Cafe,North Indian,2020,4.5,7.0,24
R00122,Banerjee Group,Hyderabad,Cloud Kitchen,South Indian,2025,4.6,2.6,29
R00123,Luthra and Sons,Coimbatore,Cloud Kitchen,Biryani,2022,4.0,9.7,16
R00124,Arya-Prabhu,Hyderabad,Cloud Kitchen,Chinese,2016,4.1,3.1,22
R00125,Solanki PLC,Bangalore,Fast Food Chain,Pizza,2023,3.8,2.1,26
R00126,Natt-Kurian,Coimbatore,Fast Food Chain,Chinese,2016,4.5,6.6,17
R00127,"Narula, Agarwal and Sachdev",Bangalore,Budget Restaurant,Biryani,2022,4.7,2.3,30
R00128,Sha Ltd,Chennai,Cafe,South Indian,2022,4.9,2.0,27
R00129,Mani PLC,Hyderabad,Fast Food Chain,Burger,2026,5.0,8.6,29
R00130,Randhawa PLC,Bangalore,Cloud Kitchen,South Indian,2020,4.0,3.1,25
R00131,Agrawal-Gara,Chennai,Budget Restaurant,South Indian,2017,4.6,3.2,16
R00132,"Shroff, Sethi and Kalla",Bangalore,Fast Food Chain,Biryani,2017,4.9,7.7,27
R00133,Pillay-Chauhan,Hyderabad,Premium Restaurant,Biryani,2019,4.4,7.6,19
R00134,Bera-Joshi,Coimbatore,Cloud Kitchen,Pizza,2020,4.6,3.4,22
R00135,Bali-Kapoor,Chennai,Budget Restaurant,Chinese,2020,3.9,9.5,29
R00136,Nigam LLC,Chennai,Budget Restaurant,North Indian,2026,3.7,3.2,16
R00137,Kale-Batra,Bangalore,Cloud Kitchen,North Indian,2024,4.6,2.2,21
R00138,Kamdar LLC,Hyderabad,Cloud Kitchen,Chinese,2022,4.2,4.0,16
R00139,Dave-Halder,Hyderabad,Budget Restaurant,Biryani,2026,4.9,8.7,18
R00140,Gill Inc,Hyderabad,Cafe,Biryani,2019,3.6,8.0,22
R00141,Srinivasan-Dhaliwal,Vijayawada,Cafe,Desserts,2025,3.9,4.1,16
R00142,Chakrabarti-Mutti,Chennai,Cloud Kitchen,Burger,2020,4.6,7.1,23
R00143,Bobal Group,Hyderabad,Cafe,Healthy Foods,2022,4.5,8.8,16
R00144,Walia-Ghosh,Hyderabad,Premium Restaurant,Biryani,2026,4.6,4.7,16
R00145,Zacharia-Kulkarni,Chennai,Fast Food Chain,South Indian,2019,3.9,4.7,30
R00146,Iyengar Inc,Chennai,Cloud Kitchen,South Indian,2018,4.4,7.2,20
R00147,Swamy-Parmer,Hyderabad,Premium Restaurant,Beverages,2018,4.4,9.6,30
R00148,Murthy PLC,Coimbatore,Budget Restaurant,Burger,2018,3.8,7.0,19
R00149,Din-Doshi,Hyderabad,Premium Restaurant,North Indian,2025,4.5,9.6,23
R00150,Dhar Inc,Bangalore,Cloud Kitchen,Biryani,2017,4.6,2.8,25
R00151,Minhas-Bhatnagar,Bangalore,Fast Food Chain,South Indian,2017,3.8,6.0,17
R00152,Mangat and Sons,Vijayawada,Budget Restaurant,South Indian,2024,3.5,3.4,20
R00153,Varty Ltd,Chennai,Premium Restaurant,South Indian,2024,3.8,2.1,29
R00154,Arya PLC,Chennai,Cafe,Desserts,2016,3.9,2.9,23
R00155,Rao Ltd,Bangalore,Budget Restaurant,South Indian,2018,4.1,3.4,22
R00156,Sha Ltd,Hyderabad,Premium Restaurant,South Indian,2016,4.9,6.7,25
R00157,"Jayaraman, Bhargava and Andra",Vijayawada,Cloud Kitchen,Chinese,2017,3.7,6.9,19
R00158,"Mann, Apte and Oommen",Bangalore,Cafe,Biryani,2020,4.0,6.3,30
R00159,Dalal-Vig,Vijayawada,Premium Restaurant,Biryani,2026,3.6,4.0,15
R00160,"Malhotra, Deep and Kibe",Coimbatore,Cloud Kitchen,South Indian,2018,5.0,5.2,21
R00161,Padmanabhan PLC,Chennai,Cafe,Pizza,2025,4.5,7.9,17
R00162,Shanker-Dhillon,Chennai,Budget Restaurant,South Indian,2023,3.9,8.1,23
R00163,Varma Ltd,Bangalore,Budget Restaurant,Burger,2021,4.9,9.5,22
R00164,Murthy-Shroff,Chennai,Cloud Kitchen,Biryani,2023,4.9,2.8,20
R00165,Chaudhary-Thaman,Vijayawada,Premium Restaurant,Burger,2016,4.2,6.4,24
R00166,Krishnamurthy-Padmanabhan,Chennai,Premium Restaurant,Healthy Foods,2025,4.3,9.1,29
R00167,Issac-Palla,Coimbatore,Fast Food Chain,South Indian,2025,4.0,4.5,20
R00168,Dani Inc,Chennai,Premium Restaurant,South Indian,2025,4.0,2.6,18
R00169,Chana Group,Chennai,Premium Restaurant,Burger,2018,4.9,3.6,27
R00170,Jani and Sons,Chennai,Premium Restaurant,North Indian,2016,3.5,9.5,24
R00171,Dani Ltd,Coimbatore,Premium Restaurant,South Indian,2025,3.8,3.0,28
R00172,Mahajan Ltd,Bangalore,Premium Restaurant,Chinese,2022,4.7,6.4,27
R00173,Vasa-Kumar,Chennai,Cafe,South Indian,2018,4.1,5.6,27
R00174,"Dewan, Krishnamurthy and Khalsa",Vijayawada,Fast Food Chain,North Indian,2018,4.5,8.7,27
R00175,"Rajan, Gill and Raghavan",Coimbatore,Cafe,Chinese,2026,4.7,4.3,17
R00176,Jha Inc,Hyderabad,Fast Food Chain,South Indian,2021,4.4,5.7,20
R00177,Sahota PLC,Chennai,Cloud Kitchen,South Indian,2021,4.8,2.7,21
R00178,Master-Pillai,Chennai,Fast Food Chain,Chinese,2019,3.8,4.6,26
R00179,Chaudhary-Kala,Chennai,Fast Food Chain,Pizza,2016,4.8,2.5,16
R00180,Bobal-Kunda,Hyderabad,Cloud Kitchen,Healthy Foods,2019,4.3,3.2,17
R00181,Upadhyay-Shetty,Bangalore,Premium Restaurant,North Indian,2016,4.9,5.6,16
R00182,Jhaveri-Kala,Coimbatore,Premium Restaurant,Biryani,2022,4.3,2.0,30
R00183,Minhas and Sons,Hyderabad,Premium Restaurant,Healthy Foods,2020,4.5,7.0,19
R00184,Keer PLC,Bangalore,Fast Food Chain,Burger,2021,3.9,4.3,26
R00185,Dugal-Mahajan,Chennai,Fast Food Chain,Biryani,2026,4.0,5.1,29
R00186,Halder-Mane,Bangalore,Cafe,South Indian,2017,3.6,9.6,18
R00187,Desai-Solanki,Bangalore,Budget Restaurant,North Indian,2022,4.8,5.5,28
R00188,"Mitra, Sahota and Gokhale",Vijayawada,Cafe,South Indian,2024,4.5,5.4,16
R00189,Iyer-Sarkar,Hyderabad,Budget Restaurant,Biryani,2018,3.8,2.7,18
R00190,"Guha, Rai and Choudhary",Hyderabad,Cafe,Chinese,2016,4.9,7.1,17
R00191,Magar Group,Chennai,Cloud Kitchen,Pizza,2017,4.3,5.6,18
R00192,Baria-Bhagat,Chennai,Budget Restaurant,Chinese,2022,4.1,2.8,16
R00193,Garde Ltd,Chennai,Premium Restaurant,North Indian,2021,3.8,2.4,18
R00194,"Hans, Mukherjee and Vasa",Bangalore,Fast Food Chain,Burger,2020,4.5,4.7,26
R00195,"Gopal, Patel and Sibal",Hyderabad,Premium Restaurant,Biryani,2026,4.2,7.1,15
R00196,Ganesh and Sons,Bangalore,Cafe,Chinese,2017,3.5,8.7,21
R00197,Sethi-Kale,Chennai,Cafe,North Indian,2016,4.4,2.0,29
R00198,Parekh Inc,Vijayawada,Cafe,Biryani,2026,4.8,2.3,16
R00199,Garg-Nadig,Hyderabad,Cloud Kitchen,North Indian,2018,4.0,9.7,26
R00200,"Khurana, Parsa and Hans",Chennai,Premium Restaurant,Healthy Foods,2022,4.7,8.9,26
R00201,"Shanker, Agate and Shroff",Bangalore,Premium Restaurant,Biryani,2017,4.6,3.3,26
R00202,Ramesh and Sons,Vijayawada,Premium Restaurant,Biryani,2019,3.6,7.3,15
R00203,Balakrishnan Group,Coimbatore,Budget Restaurant,Biryani,2017,3.9,6.6,19
R00204,Sen-Halder,Bangalore,Cafe,South Indian,2026,4.6,5.1,22
R00205,Sur-Om,Bangalore,Premium Restaurant,Desserts,2016,3.5,7.6,24
R00206,Chanda-Kurian,Bangalore,Fast Food Chain,Biryani,2016,3.9,6.5,20
R00207,Dewan LLC,Chennai,Budget Restaurant,Healthy Foods,2016,4.1,4.9,29
R00208,Vaidya-Chopra,Bangalore,Cafe,South Indian,2024,4.4,3.5,24
R00209,Varty-Dalal,Bangalore,Premium Restaurant,North Indian,2022,3.9,5.1,25
R00210,Purohit and Sons,Coimbatore,Budget Restaurant,Biryani,2016,4.9,7.6,23
R00211,Deo-Patel,Chennai,Cloud Kitchen,Chinese,2024,4.5,4.7,23
R00212,Pandya-Vala,Hyderabad,Fast Food Chain,Pizza,2017,5.0,9.9,29
R00213,"Kumer, Nagy and Halder",Hyderabad,Cafe,South Indian,2026,3.8,5.6,20
R00214,Dua Inc,Bangalore,Fast Food Chain,North Indian,2022,3.5,8.4,25
R00215,"Suresh, Ganguly and Oza",Chennai,Fast Food Chain,Desserts,2020,4.0,6.4,22
R00216,Jani Group,Coimbatore,Premium Restaurant,North Indian,2026,4.3,7.1,16
R00217,Magar and Sons,Coimbatore,Cloud Kitchen,Healthy Foods,2023,3.6,7.1,28
R00218,Kale-Murty,Vijayawada,Cloud Kitchen,Biryani,2025,4.2,8.7,22
R00219,Dey Ltd,Bangalore,Cafe,South Indian,2020,4.3,6.5,25
R00220,Bhatt LLC,Hyderabad,Fast Food Chain,Biryani,2016,4.9,3.8,29
R00221,"Mohanty, Bains and Iyer",Bangalore,Budget Restaurant,North Indian,2022,3.7,4.0,17
R00222,Roy-Pillay,Bangalore,Premium Restaurant,South Indian,2022,3.6,2.7,16
R00223,"Misra, Manne and Behl",Chennai,Budget Restaurant,Beverages,2017,4.1,5.0,20
R00224,Chand LLC,Coimbatore,Budget Restaurant,Biryani,2026,4.5,7.8,16
R00225,Wagle-Kata,Chennai,Cloud Kitchen,Burger,2026,4.7,2.7,21
R00226,Suresh PLC,Coimbatore,Budget Restaurant,North Indian,2025,4.9,4.2,25
R00227,Iyer and Sons,Chennai,Cafe,Biryani,2023,4.8,2.1,23
R00228,Tiwari-Kibe,Hyderabad,Premium Restaurant,Biryani,2017,4.0,6.8,19
R00229,Atwal-Koshy,Chennai,Cafe,North Indian,2021,3.7,8.4,20
R00230,"Mitter, Varughese and Bhardwaj",Hyderabad,Cafe,North Indian,2022,4.9,2.7,26
R00231,"Saraf, Kar and Deshmukh",Chennai,Cafe,Burger,2024,4.8,6.8,25
R00232,Kohli PLC,Vijayawada,Budget Restaurant,Biryani,2016,4.9,8.7,27
R00233,Narayan-Srivastava,Hyderabad,Fast Food Chain,Pizza,2024,4.6,5.3,29
R00234,Kashyap-Acharya,Chennai,Cloud Kitchen,Pizza,2023,4.7,6.8,24
R00235,Banerjee Group,Chennai,Fast Food Chain,North Indian,2025,4.0,2.6,19
R00236,Dubey Group,Bangalore,Cafe,North Indian,2021,4.0,2.1,28
R00237,Sehgal and Sons,Chennai,Cloud Kitchen,Biryani,2023,4.0,2.6,15
R00238,Walla and Sons,Chennai,Cloud Kitchen,South Indian,2018,4.6,2.8,15
R00239,Oza Inc,Chennai,Budget Restaurant,South Indian,2017,4.3,7.7,29
R00240,"Kala, Bobal and Edwin",Chennai,Premium Restaurant,Desserts,2026,3.5,8.3,23
R00241,Vora-Sane,Hyderabad,Budget Restaurant,Biryani,2023,4.5,2.8,16
R00242,Vohra Group,Chennai,Cafe,Healthy Foods,2016,4.4,5.1,22
R00243,Banerjee-Kothari,Hyderabad,Cloud Kitchen,Burger,2017,3.7,3.7,24
R00244,Murty-Garde,Chennai,Fast Food Chain,Chinese,2021,3.9,4.3,22
R00245,Taneja Inc,Chennai,Cafe,Biryani,2026,4.1,2.5,26
R00246,Maharaj PLC,Vijayawada,Cafe,Desserts,2021,3.7,2.1,24
R00247,Lalla Ltd,Vijayawada,Premium Restaurant,South Indian,2023,4.7,4.2,25
R00248,Sanghvi-Sami,Bangalore,Cafe,North Indian,2017,4.1,6.2,29
R00249,Chopra Group,Chennai,Premium Restaurant,North Indian,2026,4.2,8.4,16
R00250,"Bakshi, Palan and Pai",Coimbatore,Fast Food Chain,South Indian,2016,3.8,7.3,15
R00251,Dalal-Varty,Chennai,Cafe,Biryani,2026,4.7,6.8,18
R00252,"Wadhwa, Behl and Bava",Hyderabad,Cloud Kitchen,Chinese,2023,4.1,4.6,25
R00253,"Sehgal, Randhawa and Venkataraman",Hyderabad,Fast Food Chain,Pizza,2022,3.8,9.9,19
R00254,Varkey-Kohli,Chennai,Cloud Kitchen,Biryani,2019,4.0,3.0,28
R00255,Vaidya-Mutti,Coimbatore,Cafe,South Indian,2024,5.0,5.4,30
R00256,"Tata, Zacharia and Sodhi",Hyderabad,Cloud Kitchen,Biryani,2025,4.0,6.4,19
R00257,Radhakrishnan Inc,Chennai,Budget Restaurant,North Indian,2017,3.7,4.9,26
R00258,Amble PLC,Vijayawada,Budget Restaurant,Chinese,2021,3.6,2.4,25
R00259,Pandit-Mane,Chennai,Premium Restaurant,South Indian,2023,3.5,6.4,17
R00260,Naik and Sons,Bangalore,Fast Food Chain,South Indian,2019,4.9,4.9,30
R00261,Dua-Pradhan,Coimbatore,Fast Food Chain,Chinese,2020,3.6,7.5,26
R00262,Chandra-Jhaveri,Chennai,Cloud Kitchen,South Indian,2022,4.4,5.3,18
R00263,"Mahajan, Bassi and Kata",Hyderabad,Cloud Kitchen,Beverages,2024,4.2,6.9,15
R00264,"Rama, Krishnan and Rajagopalan",Hyderabad,Cafe,Chinese,2023,4.0,3.2,18
R00265,Savant Ltd,Bangalore,Premium Restaurant,North Indian,2020,4.4,2.5,30
R00266,Date Ltd,Bangalore,Cafe,Healthy Foods,2024,4.7,5.8,23
R00267,"Goda, Raman and Char",Vijayawada,Fast Food Chain,South Indian,2023,3.7,2.7,19
R00268,Mammen and Sons,Vijayawada,Budget Restaurant,South Indian,2017,5.0,2.4,25
R00269,Parmer LLC,Chennai,Fast Food Chain,South Indian,2021,4.2,6.9,17
R00270,Desai-Prabhakar,Coimbatore,Cloud Kitchen,Burger,2019,4.0,8.2,25
R00271,Sheth LLC,Chennai,Premium Restaurant,Chinese,2022,4.2,5.3,27
R00272,"Bhakta, Swaminathan and Seth",Chennai,Budget Restaurant,Chinese,2018,3.6,8.0,25
R00273,Sem-Mukhopadhyay,Bangalore,Budget Restaurant,Biryani,2024,4.4,9.1,23
R00274,Rattan Group,Chennai,Fast Food Chain,South Indian,2016,4.4,4.9,29
R00275,Chowdhury LLC,Bangalore,Cloud Kitchen,North Indian,2021,4.9,4.9,23
R00276,Gera-Pau,Bangalore,Cloud Kitchen,South Indian,2021,4.8,4.3,23
R00277,Balasubramanian-Venkataraman,Coimbatore,Cafe,South Indian,2020,3.5,2.4,24
R00278,Mani and Sons,Hyderabad,Premium Restaurant,South Indian,2018,4.0,5.1,21
R00279,"Sule, Minhas and Deshmukh",Chennai,Premium Restaurant,Biryani,2026,4.0,2.3,19
R00280,"Jani, Raju and Khosla",Chennai,Cafe,Healthy Foods,2021,4.1,4.0,19
R00281,"Korpal, Sathe and Muni",Bangalore,Budget Restaurant,Biryani,2021,3.7,6.6,15
R00282,Borah Ltd,Bangalore,Budget Restaurant,South Indian,2017,4.8,7.5,20
R00283,Rana Group,Vijayawada,Budget Restaurant,Burger,2023,4.9,6.4,27
R00284,Chada-Som,Bangalore,Cloud Kitchen,Biryani,2019,4.4,5.5,28
R00285,Bose-Bhatti,Chennai,Budget Restaurant,North Indian,2016,4.6,6.2,26
R00286,Wagle-Lala,Coimbatore,Cafe,South Indian,2020,4.1,4.8,24
R00287,Subramaniam-Patla,Bangalore,Fast Food Chain,Pizza,2024,4.0,6.7,26
R00288,"Ghosh, Sule and Krish",Bangalore,Fast Food Chain,North Indian,2019,3.9,3.4,26
R00289,Ray Ltd,Vijayawada,Premium Restaurant,Biryani,2023,4.3,3.0,21
R00290,"Dua, Padmanabhan and Chatterjee",Vijayawada,Fast Food Chain,Healthy Foods,2023,3.9,5.8,18
R00291,Narayan-Kanda,Bangalore,Budget Restaurant,South Indian,2016,3.9,9.3,18
